LongF,LatF,LongG,LatG,preposition,locatumdesgroup,relatumdescgroup,Euclid Distance,DirectionModified
530052.1127,180441.3811,530016.7535,180419.4646,next to,structure,structure,41.50397296,239.6740675
530467.6693,180946.4379,530466.8693,180904.6505,behind,buildings,buildings,41.77881468,182.5680556
530052.1078,180441.3776,530010.2146,180442.5553,at,structure,general surface,41.78551458,273.0735929
530052.1127,180441.3811,530010.2146,180442.5553,at,structure,general surface,41.790173,273.0686816
530052.1127,180441.3811,530010.2146,180442.5553,in,structure,general surface,41.790173,273.0686816
530052.1127,180441.3811,530010.2146,180442.5553,in,structure,general surface,41.790173,273.0686816
530052.1127,180441.3811,530010.2146,180442.5553,on,structure,general surface,41.790173,273.0686816
530032.188,180459.0287,530016.7911,180419.6359,close to,inland water,structure,42.26159364,202.8144506
530016.7911,180419.6359,530032.188,180459.0287,behind,structure,inland water,42.26159364,22.81426565
530503.5863,181090.0832,530482.6052,181053.2076,adjacent to,land,buildings,42.38079317,211.1098983
532247.7959,182025.3994,532250.0535,182068.2911,over,buildings,buildings,42.93419786,4.503523625
532511.3586,180749.8789,532468.7362,180756.2665,on,buildings,roads tracks and paths,42.97382546,280.0167432
530323.4433,180691.1028,530352.7623,180722.8858,behind,roads tracks and paths,roads tracks and paths,43.16958994,44.15969173
530361.1141,180526.8136,530326.11,180500.9647,along,buildings,roads tracks and paths,43.42197376,235.0243753
532571.4437,181331.2879,532570.0682,181287.7143,on,buildings,roads tracks and paths,43.5782822,183.3047806
531418.2586,179988.4647,531375.3342,179977.8554,on,buildings,roads tracks and paths,44.09053266,257.5954985
533461.0119,181812.95,533479.2042,181853.8928,on,buildings,general surface,44.76386035,25.46315865
533484.2684,181174.3234,533439.535,181169.318,on,buildings,roads tracks and paths,44.87819633,265.1220661
530107.3513,180300.4032,530076.9924,180333.9055,near,roads tracks and paths,buildings,45.1440035,319.2838379
532439.1427,181533.6581,532393.781,181533.556,over,buildings,buildings,45.22590754,271.3646816
530472.1601,180843.0911,530464.2233,180798.339,behind,roads tracks and paths,roads tracks and paths,45.42872992,191.527892
530472.1601,180843.0911,530464.2233,180798.339,on,roads tracks and paths,roads tracks and paths,45.42872992,191.527892
530527.0532,181292.2709,530572.4785,181285.1023,on,buildings,roads tracks and paths,45.85449905,100.4391779
530112.6281,180746.2505,530108.0943,180792.0183,off,roads tracks and paths,roads tracks and paths,45.97352143,355.8102049
